,0,1,2,3,4
0,FIZZ.OQ,29-Apr-2023,US,Non-Alcoholic Beverages (NEC),231053069
1,APPHQ.PK^L23,31-Dec-2022,US,"Vegetable, Fruit & Nut Farming",23735317
2,BSFC.OQ,31-Dec-2021,US,Seafood Product Preparation & Packaging,22794511
3,UGRO.OQ,31-Dec-2021,US,Agriculture Support Services,22780819
4,JSDA.PK,31-Dec-2021,US,Non-Alcoholic Beverages (NEC),22736186
5,TWNK.OQ,31-Dec-2021,US,Bread & Bakery Product Manufacturing,22693924
6,KO.N,31-Dec-2021,US,Non-Alcoholic Beverages (NEC),22657897
7,NUZE.OQ,30-Sep-2021,US,Coffee & Tea,211510979
8,FREE.OQ,31-Dec-2020,US,Food Processing (NEC),21745989
9,TR.N,31-Dec-2020,US,Chocolate & Confectionery,21696375
10,K.N,02-Jan-2021,US,Food Processing (NEC),21660421
11,HWTR.PK,31-Dec-2019,US,Non-Alcoholic Beverages (NEC),21580351
12,—,31-Dec-2019,US,Food Processing (NEC),201260834
13,GIS.N,31-May-2020,US,Food Processing (NEC),201007954
14,INGR.N,31-Dec-2019,US,Food Processing (NEC),20629421
15,KHC.OQ,28-Dec-2019,US,Food Processing (NEC),20621866
16,HRL.N,27-Oct-2019,US,Meat Processing,191272836
17,LANC.OQ,30-Jun-2019,US,Food Ingredients,191054216
18,VPRB.PK,31-Dec-2018,US,Tobacco (NEC),19799064
19,—,31-Dec-2018,US,Brewers (NEC),19722715
20,SNAX.OQ,31-Dec-2018,US,Food Processing (NEC),19708494
21,LIFD.PK,31-Dec-2017,US,Tobacco (NEC),181086569
22,WTER.OQ,31-Mar-2018,US,Bottled Water & Ice,18929654
23,NBEVQ.PK,31-Dec-2017,US,Non-Alcoholic Beverages (NEC),18759572
24,LWAY.OQ,31-Dec-2017,US,Dairy Products,18725371
25,PME.OQ,31-Dec-2017,KY,Commercial Fishing,18689518
26,COKE.OQ,31-Dec-2017,US,Non-Alcoholic Beverages (NEC),18652588
27,HBISD.PK,31-Dec-2016,US,Food Processing (NEC),17768032
